"","Country","Deaths / million","Deaths","Cases"
"1","World[a]","892","7,101,788","778,652,552"
"2","Peru","6,603","221,060","4,532,724"
"3","Bulgaria","5,679","38,767","1,339,355"
"4","North Macedonia","5,429","9,991","352,093"
"5","Bosnia and Herzegovina","5,119","16,406","404,289"
"6","Hungary","5,072","49,124","2,238,461"
"7","Croatia","4,810","18,795","1,362,394"
"8","Slovenia","4,686","9,914","1,364,008"
"9","Georgia","4,519","17,151","1,864,386"
"10","Montenegro","4,317","2,654","251,280"
"11","Czech Republic","4,107","43,836","4,850,686"
"12","Latvia","4,062","7,641","977,783"
"13","Moldova","4,042","12,289","656,197"
"14","Slovakia","3,888","21,282","1,886,851"
"15","Greece","3,851","40,108","5,809,076"
"16","San Marino","3,693","126","25,292"
"17","Romania","3,602","69,039","3,596,787"
"18","United States","3,596","1,228,289","103,436,829"
"19","Lithuania","3,508","9,884","1,440,630"
"20","United Kingdom","3,404","232,112","25,082,464"
"21","Brazil","3,344","703,324","37,837,183"
"22","Italy","3,329","198,523","26,968,605"
"23","Chile","3,298","64,497","5,410,189"
"24","Martinique","3,159","1,104","230,354"
"25","Poland","3,151","120,981","6,804,328"
"26","Armenia","3,049","8,785","454,719"
"27","Gibraltar","3,002","113","20,550"
"28","Belgium","2,949","34,339","4,900,224"
"29","Paraguay","2,940","19,880","735,759"
"30","Trinidad and Tobago","2,934","4,390","191,496"
"31","Argentina","2,880","130,790","10,115,219"
"32","Portugal","2,834","29,524","5,671,586"
"33","European Union[b]","2,828","1,269,025","186,774,609"
"34","Russia","2,777","404,290","24,901,467"
"35","Colombia","2,759","142,791","6,401,281"
"36","Sweden","2,759","28,943","2,779,287"
"37","Aruba","2,708","292","44,224"
"38","Ukraine","2,678","109,929","5,552,577"
"39","Serbia","2,658","18,057","2,567,975"
"40","Guadeloupe","2,654","1,021","203,235"
"41","France","2,616","168,162","39,048,846"
"42","Mexico","2,605","335,041","7,629,010"
"43","Spain","2,547","121,852","13,980,340"
"44","Bermuda","2,547","165","18,860"
"45","Guam","2,536","419","52,287"
"46","Austria","2,485","22,534","6,083,301"
"47","Tunisia","2,427","29,423","1,153,361"
"48","Estonia","2,337","3,156","615,361"
"49","French Polynesia","2,318","650","79,451"
"50","Saint Lucia","2,293","410","30,253"
"51","Uruguay","2,269","7,695","1,042,913"
"52","Liechtenstein","2,262","89","21,628"
"53","Suriname","2,256","1,406","82,516"
"54","Sint Maarten","2,182","92","11,051"
"55","Bahamas","2,135","849","39,127"
"56","Barbados","2,100","593","109,082"
"57","Germany","2,080","174,979","38,437,886"
"58","Finland","2,058","11,466","1,513,469"
"59","Grenada","2,035","238","19,693"
"60","Ecuador","2,023","36,060","1,080,371"
"61","Panama","1,999","8,799","1,045,458"
"62","Andorra","1,994","159","48,015"
"63","Republic of Ireland","1,932","9,875","1,762,252"
"64","Lebanon","1,905","10,947","1,239,904"
"65","Kosovo","1,869","3,212","274,279"
"66","Bolivia","1,853","22,389","1,212,173"
"67","Costa Rica","1,846","9,386","1,238,916"
"68","Puerto Rico","1,832","5,938","1,252,713"
"69","Hong Kong","1,798","13,466","2,876,106"
"70","Montserrat","1,787","8","1,403"
"71","Malta","1,777","939","125,029"
"72","Monaco","1,720","67","17,181"
"73","Belize","1,708","688","71,491"
"74","Denmark","1,696","10,012","3,449,547"
"75","British Virgin Islands","1,669","64","7,660"
"76","Curaçao","1,645","305","45,883"
"77","South Africa","1,644","102,595","4,073,065"
"78","Iran","1,640","146,837","7,627,863"
"79","Switzerland","1,611","14,170","4,481,883"
"80","Guyana","1,596","1,312","75,513"
"81","Collectivity of Saint Martin","1,591","46","12,324"
"82","Antigua and Barbuda","1,572","146","9,106"
"83","Jersey","1,555","161","66,391"
"84","Luxembourg","1,530","1,000","399,262"
"85","United States Virgin Islands","1,525","132","25,389"
"86","Cyprus","1,450","1,364","716,332"
"87","Caribbean Netherlands","1,430","41","11,922"
"88","Canada","1,424","55,282","4,819,055"
"89","Namibia","1,422","4,110","172,557"
"90","Israel","1,395","12,707","4,841,558"
"91","French Guiana","1,384","413","98,041"
"92","Isle of Man","1,378","116","38,008"
"93","Seychelles","1,370","172","51,899"
"94","Netherlands","1,283","22,986","8,652,923"
"95","Jamaica","1,279","3,634","157,651"
"96","Albania","1,275","3,608","337,215"
"97","Jordan","1,254","14,122","1,746,997"
"98","Saint Vincent and the Grenadines","1,214","124","9,674"
"99","Eswatini","1,170","1,427","75,356"
"100","Turkey","1,164","101,419","17,004,724"
"101","Botswana","1,148","2,801","330,699"
"102","Guatemala","1,132","20,205","1,254,468"
"103","Dominica","1,107","74","16,047"
"104","New Caledonia","1,093","314","80,203"
"105","Malaysia","1,076","37,351","5,329,836"
"106","Palestine","1,075","5,708","703,228"
"107","Honduras","1,062","11,114","473,034"
"108","Réunion","1,056","921","494,595"
"109","Guernsey","1,050","67","35,326"
"110","Norway","1,050","5,732","1,543,751"
"111","Azerbaijan","1,005","10,353","836,510"
"112","Bahrain","1,001","1,536","696,614"
"113","Saint Kitts and Nevis","984","46","6,607"
"114","Oman","978","4,628","399,449"
"115","Australia","963","25,236","11,861,161"
"116","Fiji","962","885","69,047"
"117","Kazakhstan","951","19,072","1,504,370"
"118","Turks and Caicos Islands","893","41","6,920"
"119","Libya","891","6,437","507,269"
"120","Northern Mariana Islands","889","41","14,985"
"121","New Zealand","884","4,538","2,668,236"
"122","Anguilla","844","12","3,904"
"123","Mauritius","841","1,074","332,086"
"124","Cabo Verde","802","417","64,474"
"125","Wallis and Futuna","782","9","3,760"
"126","Belarus","775","7,118","994,052"
"127","Cuba","771","8,530","1,113,808"
"128","Sri Lanka","740","16,907","672,812"
"129","Taiwan","739","17,672","9,970,937"
"130","American Samoa","702","34","8,359"
"131","South Korea","693","35,934","34,571,873"
"132","El Salvador","673","4,230","202,066"
"133","Mongolia","630","2,136","1,011,489"
"134","Mayotte","612","187","42,027"
"135","Maldives","602","316","186,694"
"136","Japan","597","74,694","33,803,572"
"137","Philippines","586","66,864","4,173,631"
"138","Indonesia","581","162,059","6,830,274"
"139","Federated States of Micronesia","579","65","31,765"
"140","Iraq","575","25,375","2,465,545"
"141","Palau","562","10","6,372"
"142","Kuwait","559","2,570","667,290"
"143","Faroe Islands","518","28","34,658"
"144","Cayman Islands","516","37","31,472"
"145","Iceland","489","186","211,062"
"146","Thailand","487","34,992","5,418,524"
"147","Saint Barthélemy","456","5","5,507"
"148","Morocco","436","16,305","1,279,115"
"149","Vietnam","433","43,206","11,624,000"
"150","Marshall Islands","424","17","16,297"
"151","Nepal","404","12,034","1,003,943"
"152","Brunei","399","182","350,550"
"153","Dominican Republic","390","4,384","661,103"
"154","Greenland","374","21","11,971"
"155","India","374","533,847","45,056,117"
"156","Myanmar","362","19,494","643,401"
"157","Singapore","358","2,024","3,006,155"
"158","Zimbabwe","357","5,740","266,436"
"159","Sao Tome and Principe","353","80","6,771"
"160","Saint Pierre and Miquelon","347","2","3,426"
"161","Lesotho","310","709","36,140"
"162","Saudi Arabia","299","9,646","841,469"
"163","Solomon Islands","254","199","25,954"
"164","Qatar","238","690","514,524"
"165","United Arab Emirates","229","2,349","1,067,030"
"166","Egypt","220","24,830","516,023"
"167","Venezuela","207","5,856","552,743"
"168","Mauritania","204","997","63,891"
"169","Zambia","202","4,078","349,892"
"170","Afghanistan","197","7,998","235,214"
"171","Comoros","193","161","9,109"
"172","Kiribati","183","24","5,085"
"173","Cambodia","177","3,056","139,326"
"174","Bangladesh","174","29,531","2,052,275"
"175","Macau","174","121","3,514"
"176","Djibouti","166","189","15,690"
"177","Algeria","151","6,881","272,421"
"178","Kyrgyzstan","147","1,024","88,953"
"179","Samoa","144","31","17,057"
"180","Gambia","141","372","12,627"
"181","Syria","140","3,163","57,423"
"182","Cook Islands","135","2","7,375"
"183","Malawi","130","2,686","89,168"
"184","Gabon","126","307","49,069"
"185","Pakistan","125","30,656","1,580,631"
"186","Tonga","123","13","16,992"
"187","Senegal","111","1,972","89,426"
"188","Rwanda","107","1,468","133,274"
"189","Kenya","104","5,689","344,137"
"190","Sudan","102","5,046","63,993"
"191","Equatorial Guinea","101","183","17,130"
"192","Timor-Leste","100","138","23,460"
"193","Tuvalu","99","1","2,943"
"194","Laos","88","671","219,060"
"195","China[c]","85","122,398","99,381,761"
"196","Nauru","84","1","5,393"
"197","Guinea-Bissau","84","177","9,614"
"198","Uganda","76","3,632","172,217"
"199","Somalia","76","1,361","27,334"
"200","Haiti","74","860","34,901"
"201","Cameroon","71","1,974","125,317"
"202","Mozambique","68","2,252","233,909"
"203","Papua New Guinea","65","670","46,864"
"204","Republic of the Congo","64","389","25,234"
"205","Ethiopia","60","7,574","501,322"
"206","Yemen","56","2,159","11,945"
"207","Liberia","54","294","8,090"
"208","Angola","54","1,937","107,487"
"209","Madagascar","46","1,428","68,713"
"210","Vanuatu","44","14","12,019"
"211","Ghana","44","1,463","172,750"
"212","Nicaragua","36","245","16,398"
"213","Guinea","33","468","38,593"
"214","Mali","32","743","33,197"
"215","Togo","31","290","39,553"
"216","Eritrea","30","103","10,189"
"217","Uzbekistan","29","1,016","175,132"
"218","Ivory Coast","27","835","88,434"
"219","Bhutan","26","21","63,191"
"220","Central African Republic","22","113","15,486"
"221","Burkina Faso","17","400","22,216"
"222","Sierra Leone","15","126","7,985"
"223","Democratic Republic of the Congo","14","1,474","101,010"
"224","Nigeria","14","3,155","267,227"
"225","South Sudan","13","147","18,873"
"226","Tanzania","13","846","43,600"
"227","Niger","12","315","9,573"
"228","Tajikistan","12","125","17,786"
"229","Benin","11","163","28,036"
"230","Chad","10","194","7,702"
"231","Burundi","1","15","54,569"
"232","Vatican City","0","0","26"
"233","Niue","0","0","1,092"
"234","Falkland Islands","0","0","1,923"
"235","Saint Helena, Ascension and Tristan da Cunha","0","0","2,166"
"236","Pitcairn Islands","0","0","4"
"237","Tokelau","0","0","80"
"238","North Korea","0","0","0"
"239","Turkmenistan","0","0","0"
"240",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Countries which do not report data for a column are not included in that column's world total.

^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals.

^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Countries which do not report data for a column are not included in that column's world total.

^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals.

^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Countries which do not report data for a column are not included in that column's world total.

^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals.

^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Countries which do not report data for a column are not included in that column's world total.

^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals.

^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
