"","Column_1","Location","Vaccinated[b]","Percent[c]"
"1","","World[d][e]","5645247500","70.70%"
"2","","China[f]","1318026800","92.48%"
"3","","India","1027438900","72.08%"
"4","","European Union[g]","338481060","75.43%"
"5","","United States[h]","270227170","79.12%"
"6","","Indonesia","204419400","73.31%"
"7","","Brazil","189643420","90.17%"
"8","","Pakistan","165567890","67.94%"
"9","","Bangladesh","151507170","89.45%"
"10","","Japan","104740060","83.79%"
"11","","Mexico","97179496","75.56%"
"12","","Nigeria","93829430","42.05%"
"13","","Vietnam","90497670","90.79%"
"14","","Russia","89081600","61.19%"
"15","","Philippines","82684776","72.55%"
"16","","Iran","65199830","72.83%"
"17","","Germany","64876300","77.15%"
"18","","Turkey","57941052","66.55%"
"19","","Thailand","57005496","79.47%"
"20","","Egypt","56907320","50.53%"
"21","","France","54677680","82.50%"
"22","","United Kingdom","53806964","78.92%"
"23","","Ethiopia","52489510","41.86%"
"24","","Italy[i]","50936720","85.44%"
"25","","South Korea","44764956","86.45%"
"26","","Colombia","43012176","83.13%"
"27","","Myanmar","41551930","77.30%"
"28","","Argentina","41529056","91.46%"
"29","","Spain","41351230","86.46%"
"30","","Canada","34742936","89.49%"
"31","","Tanzania","34434932","53.21%"
"32","","Peru","30563708","91.30%"
"33","","Malaysia","28138564","81.10%"
"34","","Nepal","27883196","93.83%"
"35","","Saudi Arabia","27041364","84.04%"
"36","","Morocco","25020168","67.03%"
"37","","South Africa","24210952","38.81%"
"38","","Poland","22984544","59.88%"
"39","","Mozambique","22869646","70.03%"
"40","","Australia","22231734","84.85%"
"41","","Venezuela","22157232","78.54%"
"42","","Uzbekistan","22094470","63.24%"
"43","","Taiwan","21899240","93.51%"
"44","","Uganda","20033188","42.34%"
"45","","Afghanistan","19151368","47.20%"
"46","","Chile","18088516","92.51%"
"47","","Sri Lanka","17143760","75.08%"
"48","","Democratic Republic of the Congo","17045720","16.65%"
"49","","Angola","16550642","46.44%"
"50","","Ukraine","16267198","39.63%"
"51","","Ecuador","15345791","86.10%"
"52","","Cambodia","15316670","89.04%"
"53","","Sudan","15207452","30.79%"
"54","","Kenya","14494372","26.72%"
"55","","Ghana","13864186","41.82%"
"56","","Ivory Coast","13568372","44.64%"
"57","","Netherlands","12582081","70.27%"
"58","","Zambia","11711565","58.11%"
"59","","Iraq","11332925","25.72%"
"60","","Rwanda","10884714","79.74%"
"61","","Kazakhstan","10858101","54.20%"
"62","","Cuba","10805570","97.70%"
"63","","United Arab Emirates","9991089","97.55%"
"64","","Portugal","9821414","94.28%"
"65","","Belgium","9261641","79.55%"
"66","","Somalia","8972167","50.40%"
"67","","Guatemala","8937923","50.08%"
"68","","Tunisia","8896848","73.41%"
"69","","Guinea","8715641","62.01%"
"70","","Greece","7938031","76.24%"
"71","","Algeria","7840131","17.24%"
"72","","Sweden","7775726","74.14%"
"73","","Zimbabwe","7525882","46.83%"
"74","","Dominican Republic","7367193","65.60%"
"75","","Bolivia","7361008","60.95%"
"76","","Israel","7055466","77.51%"
"77","","Czech Republic","6982006","65.42%"
